lat,lng
-41.457506,-72.899003
-41.4735229,-72.9117631
-41.4578662,-72.9075403
-41.467936,-72.9127761
-41.461284,-72.9134655
-41.4565887,-72.911785
-41.4660791,-72.9159377
-41.4504787,-72.9100381
-41.4651545,-72.9176065
-41.4626772,-72.9172551
-41.4553092,-72.9140634
-41.4617247,-72.9172201
-41.4642219,-72.9210819
-41.4609216,-72.9201931
-41.468449,-72.9241419
-41.4629767,-72.922631
-41.4698737,-72.9271027
-41.4612918,-72.927287
-41.4583692,-72.9268274
-41.4224255,-72.9092186
-41.4222426,-72.9092186
-41.4686006,-72.9462717
-41.4578566,-72.9434737
-41.4692091,-72.954489
-41.4649315,-72.955774
-41.4733642,-72.9580185
-41.4704455,-72.9598758
-41.453378,-72.957445
-41.4805506,-72.9644608
-41.3988787,-72.9168399
-41.47854,-72.98367
-41.4768,-72.98533
-41.485652,-73.002266
-41.321628,-72.98442
-41.325311,-73.082936
-41.8004352,-72.7171379
-41.48439,-72.327334
-41.764964,-73.1343172
-41.7559922,-73.1524057
-41.7731669,-73.1336335
-41.7619075,-73.1564255
-41.7841261,-73.1408861
-41.8811358,-72.8145054
-41.8003474,-73.1590885
-41.9033831,-72.8458449
-41.11687,-73.05014
-41.7741167,-73.2345093
-41.9227381,-72.8483473
-41.9275964,-72.8355258
-41.9628864,-72.4675128
-41.9672447,-72.4783901
-42.0107015,-72.6418761
-41.9667729,-72.4716328
-41.9708662,-72.4715987
-42.0253778,-72.6878814
-41.5274648,-72.0676688
-41.5262199,-72.0672718
-41.157053,-73.418915
-41.153566,-73.422739
-41.2193912,-73.490062
-41.4711235,-72.0021674
-41.6159818,-73.5961971
-41.623062,-73.5948029
-41.6178322,-73.6022766
-41.6219466,-73.6027868
-41.832528,-73.5038
-41.829795,-73.525099
-41.82919,-73.52742
-41.0391103,-73.4119589
-41.896349,-73.478504
-41.5639915,-73.6772919
-41.6415012,-73.6655156
-41.88311,-73.52316
-41.88401,-73.5229601
-41.884102,-73.523748
-41.90632,-73.5177
-41.906327,-73.517922
-41.924916,-73.540566
-41.82646,-73.62665
-41.82638,-73.62742
-41.7443708,-73.7052812
-41.7461359,-73.7062388
-41.967356,-73.539213
-41.819371,-73.675202
-42.0603,-73.4319
-41.941146,-73.59625
-41.886056,-73.662018
-41.90848,-73.64401
-41.914665,-73.64075
-42.105,-73.441
-40.683558,-72.604555
-41.901957,-73.740891
-42.1335,-73.4751
-42.1354,-73.4724
-42.1361,-73.4746
-42.1402,-73.4735
-42.1434,-73.471
-42.144,-73.4714
-42.1442,-73.4728
-42.1444,-73.4735
