WKT,InputID,TargetID,Distance
"MULTIPOINT ((-72,795222 -41,488582),(-72,899003 -41,457506))",PUERTO MONTT,PUERTO MONTT,9.3111885071375
"MULTIPOINT ((-72,795222 -41,488582),(-72,9117631 -41,4735229))",PUERTO MONTT,PUERTO MONTT,9.8514986703154
"MULTIPOINT ((-72,795222 -41,488582),(-72,9075403 -41,4578662))",PUERTO MONTT,PUERTO MONTT,9.9613396368298
"MULTIPOINT ((-72,795222 -41,488582),(-72,9127761 -41,467936))",PUERTO MONTT,PUERTO MONTT,10.058451314443
"MULTIPOINT ((-72,795222 -41,488582),(-72,9134655 -41,461284))",PUERTO MONTT,PUERTO MONTT,10.307955782159
"MULTIPOINT ((-72,795222 -41,488582),(-72,911785 -41,4565887))",PUERTO MONTT,PUERTO MONTT,10.342349957627
"MULTIPOINT ((-72,795222 -41,488582),(-72,9159377 -41,4660791))",PUERTO MONTT,PUERTO MONTT,10.36311112409
"MULTIPOINT ((-72,795222 -41,488582),(-72,9100381 -41,4504787))",PUERTO MONTT,PUERTO MONTT,10.462448011804
"MULTIPOINT ((-72,795222 -41,488582),(-72,9176065 -41,4651545))",PUERTO MONTT,PUERTO MONTT,10.523127280431
"MULTIPOINT ((-72,795222 -41,488582),(-72,9172551 -41,4626772))",PUERTO MONTT,PUERTO MONTT,10.56670052567
"MULTIPOINT ((-72,795222 -41,488582),(-72,9140634 -41,4553092))",PUERTO MONTT,PUERTO MONTT,10.569843402696
"MULTIPOINT ((-72,795222 -41,488582),(-72,9172201 -41,4617247))",PUERTO MONTT,PUERTO MONTT,10.593337233442
"MULTIPOINT ((-72,795222 -41,488582),(-72,9210819 -41,4642219))",PUERTO MONTT,PUERTO MONTT,10.829433006212
"MULTIPOINT ((-72,795222 -41,488582),(-72,9201931 -41,4609216))",PUERTO MONTT,PUERTO MONTT,10.856226163917
"MULTIPOINT ((-72,795222 -41,488582),(-72,9241419 -41,468449))",PUERTO MONTT,PUERTO MONTT,10.970621780361
"MULTIPOINT ((-72,795222 -41,488582),(-72,922631 -41,4629767))",PUERTO MONTT,PUERTO MONTT,10.989589791809
"MULTIPOINT ((-72,795222 -41,488582),(-72,9271027 -41,4698737))",PUERTO MONTT,PUERTO MONTT,11.181528500994
"MULTIPOINT ((-72,795222 -41,488582),(-72,927287 -41,4612918))",PUERTO MONTT,PUERTO MONTT,11.413203511358
"MULTIPOINT ((-72,795222 -41,488582),(-72,9268274 -41,4583692))",PUERTO MONTT,PUERTO MONTT,11.467497838069
"MULTIPOINT ((-72,795222 -41,488582),(-72,9092186 -41,4224255))",PUERTO MONTT,PUERTO MONTT,12.015158653484
"MULTIPOINT ((-72,795222 -41,488582),(-72,9092186 -41,4222426))",PUERTO MONTT,PUERTO MONTT,12.027631752597
"MULTIPOINT ((-72,795222 -41,488582),(-72,9462717 -41,4686006))",PUERTO MONTT,PUERTO MONTT,12.777990188795
"MULTIPOINT ((-72,795222 -41,488582),(-72,9434737 -41,4578566))",PUERTO MONTT,PUERTO MONTT,12.81509368146
"MULTIPOINT ((-72,795222 -41,488582),(-72,954489 -41,4692091))",PUERTO MONTT,PUERTO MONTT,13.441580109738
"MULTIPOINT ((-72,795222 -41,488582),(-72,955774 -41,4649315))",PUERTO MONTT,PUERTO MONTT,13.631417394895
"MULTIPOINT ((-72,795222 -41,488582),(-72,9580185 -41,4733642))",PUERTO MONTT,PUERTO MONTT,13.666598777078
"MULTIPOINT ((-72,795222 -41,488582),(-72,9598758 -41,4704455))",PUERTO MONTT,PUERTO MONTT,13.863929903202
"MULTIPOINT ((-72,795222 -41,488582),(-72,957445 -41,453378))",PUERTO MONTT,PUERTO MONTT,14.0712146088
"MULTIPOINT ((-72,795222 -41,488582),(-72,9644608 -41,4805506))",PUERTO MONTT,PUERTO MONTT,14.125581776391
"MULTIPOINT ((-72,795222 -41,488582),(-72,9168399 -41,3988787))",PUERTO MONTT,PUERTO MONTT,14.221449820174
"MULTIPOINT ((-72,795222 -41,488582),(-72,98367 -41,47854))",PUERTO MONTT,PUERTO MONTT,15.737355251292
"MULTIPOINT ((-72,795222 -41,488582),(-72,98533 -41,4768))",PUERTO MONTT,PUERTO MONTT,15.890283349407
"MULTIPOINT ((-72,795222 -41,488582),(-73,002266 -41,485652))",PUERTO MONTT,PUERTO MONTT,17.248886166509
"MULTIPOINT ((-72,795222 -41,488582),(-72,98442 -41,321628))",PUERTO MONTT,PUERTO VARAS,24.364416530637
"MULTIPOINT ((-72,795222 -41,488582),(-73,082936 -41,325311))",PUERTO MONTT,PUERTO VARAS,30.089215760239
"MULTIPOINT ((-72,795222 -41,488582),(-72,7171379 -41,8004352))",PUERTO MONTT,HUALANE,35.278250061824
"MULTIPOINT ((-72,795222 -41,488582),(-72,327334 -41,48439))",PUERTO MONTT,PUERTO VARAS,38.976877134532
"MULTIPOINT ((-72,795222 -41,488582),(-73,1343172 -41,764964))",PUERTO MONTT,CALBUCO,41.699095217539
"MULTIPOINT ((-72,795222 -41,488582),(-73,1524057 -41,7559922))",PUERTO MONTT,CALBUCO,42.019306785811
"MULTIPOINT ((-72,795222 -41,488582),(-73,1336335 -41,7731669))",PUERTO MONTT,CALBUCO,42.336845590484
"MULTIPOINT ((-72,795222 -41,488582),(-73,1564255 -41,7619075))",PUERTO MONTT,CALBUCO,42.720488072167
"MULTIPOINT ((-72,795222 -41,488582),(-73,1408861 -41,7841261))",PUERTO MONTT,CALBUCO,43.647985296485
"MULTIPOINT ((-72,795222 -41,488582),(-72,8145054 -41,8811358))",PUERTO MONTT,HUALANE,43.679264240613
"MULTIPOINT ((-72,795222 -41,488582),(-73,1590885 -41,8003474))",PUERTO MONTT,CALBUCO,45.999082456555
"MULTIPOINT ((-72,795222 -41,488582),(-72,8458449 -41,9033831))",PUERTO MONTT,HUALANE,46.31478264895
"MULTIPOINT ((-72,795222 -41,488582),(-73,05014 -41,11687))",PUERTO MONTT,FRUTILLAR,46.495211953147
"MULTIPOINT ((-72,795222 -41,488582),(-73,2345093 -41,7741167))",PUERTO MONTT,CALBUCO,48.383641564721
"MULTIPOINT ((-72,795222 -41,488582),(-72,8483473 -41,9227381))",PUERTO MONTT,HUALANE,48.476875416296
"MULTIPOINT ((-72,795222 -41,488582),(-72,8355258 -41,9275964))",PUERTO MONTT,HUALANE,48.930591693277
"MULTIPOINT ((-72,795222 -41,488582),(-72,4675128 -41,9628864))",PUERTO MONTT,HUALANE,59.339385421597
"MULTIPOINT ((-72,795222 -41,488582),(-72,4783901 -41,9672447))",PUERTO MONTT,HUALANE,59.364835468761
"MULTIPOINT ((-72,795222 -41,488582),(-72,6418761 -42,0107015))",PUERTO MONTT,HUALANE,59.434375010918
